a,b,c,d
0.672544672744369,0.975033206169484,0.005098204188924,1.20420569160463
2.94079490505766,1.66367071006142,2.31686510371447,0.229456130021199
1.44116172773625,1.37367874551764,0.001149305944983,2.24027542971099
1.50631828996666,1.52570794549669,3.84304233605602,3.27342599977687
4.28301018747562,0.685793715365702,0.789856460790136,1.6061574162192
3.52986740537645,1.26537775010419,2.01606600575501,0.940866413790525
0.833622079666045,0.809201265494093,2.43427744868198,3.49770852392159
0.270202965525937,3.86575877100135,0.262382815651825,0.21889628487742
3.03135637135089,1.5716558732267,2.63605139403378,1.13468239613799
0.850766644328727,0.641103768512176,0.147060469663958,1.43798970400016
0.884184047541182,0.333067131995031,1.55874710960969,1.87297237566792
1.10772927324905,2.64328550005861,3.2471263590796,1.17769503927029
0.004051109887076,1.80074357394964,0.38234732148207,3.76683970616898
2.6866157322881,1.87133669676831,0.287405429847222,3.75600025506568
0.129136016663674,0.100363824140366,4.48781243336101,1.84238783673206
1.95521693204252,0.274123157478813,1.01901532407338,0.359415899677886
4.1055779621286,0.574220115220206,2.2708870999253,1.77714983179924
0.810794757579028,0.207956289373235,1.71118215462007,3.1505049253963
0.926087606976478,3.00621771162076,3.06368607153279,0.442145550079648
4.21405163000722,2.52707064959057,0.826354255787685,1.94969812860544
3.37613249043062,2.24990693577934,0.396592752739139,0.311814877511683
0.655511964534654,0.337061783365389,0.438174690725123,0.118653895296018
1.32760876839024,1.61605361981364,2.55086190587231,0.775078635291281
2.50821001707642,3.76520169917891,1.29501176206451,2.07273200886793
1.48607820893382,3.50532389850663,0.577430075466007,2.97292716226319
4.97164489853017,2.0738591666317,0.880559649884757,1.09530225244169
0.027198852327882,2.30186197594292,0.275608400427094,2.75862844831205
0.815429788521386,0.616138455546288,1.20377986366507,1.96191326809725
2.42311626041954,1.5230548513117,2.37876835006598,2.67494806012656
2.38652222887583,0.917446061369901,2.59960436272938,1.0057677626415
2.78131192956057,0.25482502191664,1.70069187011608,1.50331325741421
1.82836550560358,1.6953215395742,0.126257767060761,2.78892348743869
0.849043315292493,1.39978900545207,3.93326725117028,2.84286919362957
1.82492882072093,3.41916321083278,0.697226504510312,1.46275396894545
1.59000388516313,2.76393052319957,2.13942312649064,1.37099949436612
3.51458362102604,3.97688355834734,0.631317299588783,3.010410824428
0.046611428187849,3.40954042497267,1.97396469651017,0.682730880106248
0.514083216101317,1.78872372095541,1.58736524139239,3.13942114412331
0.008945795036519,1.69120694101235,4.44332286463637,1.1215945569071
3.13713096779073,0.99843853347321,0.903404653091625,1.13123626509335
4.57945392132743,1.28199151172029,0.991375478200509,0.4034341873627
0.584916563682803,0.155999545680972,1.35493879575143,1.66278572469859
0.543972016825826,2.26468287028295,1.81689594357277,1.66627030815242
0.769775462855285,3.92845484918876,2.51358588218916,1.62715630780639
1.17285872338894,0.39535276965013,3.26679369730365,2.74902571015845
0.480999288747637,0.516736300289145,1.71534427008053,1.9060467218315
1.5690144415209,1.10987678451544,4.71517993990274,0.104585898266027
2.44540400712811,1.28753330919671,0.139933515562177,3.83155415778181
0.845691525795552,3.47564824656429,2.39175238974598,0.079427865814715
3.69674699596433,2.09250402887808,1.75775430508653,3.20960322741108
3.32225036768416,1.2435913090275,2.45174268122344,3.48665856236416
0.191886738365074,0.038080305706978,4.48995643974691,4.2154436030091
0.027983960808136,4.43310886444217,1.9881050811841,1.11718358613494
1.53189045520821,0.084324501963815,0.215178047018766,0.659104419614007
1.54119727746162,0.07014859543486,1.23776709949245,0.948242246972266
0.340754596568329,1.62192118324748,0.145889849699175,2.21102113261958
0.447837443380794,0.349647675117367,1.85066608518026,1.30570411543849
1.26335147602217,1.98964963645653,1.89289887396747,4.14322321847664
2.25494213667087,3.85168237533076,1.46508306445884,0.717207410910432
2.26605830172095,1.4239767684288,2.82775967787078,1.3686462204098
3.16786793749093,1.23860152043474,0.659722701922753,1.43810317480838
2.27012698808266,2.57732941329519,0.112831867105998,0.157499824302121
1.73529080953934,2.41809299043364,3.9882774070137,1.23812780889411
1.61372225428285,0.18067092299579,0.997728932163211,3.8051179662207
0.619597254718941,2.72477690330585,0.277613695799549,4.53724764659855
2.72973652318932,2.02480438009735,2.15809306572197,2.35186199823834
1.90427944671416,1.36096161851555,3.66233323097448,1.67752644238138
2.52640545697402,2.88366041569226,1.43354135541374,2.12241629368002
1.4516654966257,0.637029542242299,1.04542319490367,3.66605482047966
1.9863115469939,2.76158127600597,1.89451575381685,4.14660646384236
2.03873719708837,1.72460784156745,0.439447848563345,1.29568261042848
1.67694442770851,0.812675561537893,3.3619106897155,1.62766739886478
1.08020440860721,2.97657374186085,0.143105296314964,0.444704113846644
